iter	Passed	Remaining
405	5983	8753
406	5996	8736
407	6010	8721
408	6024	8704
409	6035	8685
410	6048	8668
411	6059	8648
412	6071	8629
413	6084	8612
414	6097	8595
415	6111	8579
416	6126	8565
417	6139	8548
418	6152	8530
419	6164	8513
420	6176	8494
421	6189	8477
422	6202	8461
423	6216	8444
424	6228	8426
425	6242	8411
426	6259	8399
427	6271	8381
428	6282	8362
429	6296	8346
430	6308	8328
431	6320	8310
432	6333	8293
433	6345	8275
434	6357	8256
435	6368	8237
436	6381	8221
437	6394	8205
438	6407	8187
439	6419	8169
440	6432	8153
441	6446	8138
442	6459	8121
443	6469	8101
444	6482	8084
445	6497	8070
446	6508	8051
447	6519	8033
448	6533	8017
449	6546	8000
450	6559	7985
451	6570	7966
452	6583	7950
453	6597	7934
454	6609	7917
455	6623	7901
456	6641	7891
457	6656	7877
458	6667	7859
459	6682	7844
460	6696	7829
461	6707	7810
462	6719	7793
463	6733	7777
464	6745	7761
465	6758	7744
466	6769	7726
467	6783	7711
468	6796	7694
469	6807	7676
470	6820	7660
471	6834	7645
472	6849	7631
473	6861	7614
474	6875	7599
475	6888	7583
476	6900	7565
477	6911	7548
478	6930	7537
479	6943	7521
480	6954	7503
481	6965	7485
482	6983	7475
483	6996	7458
484	7010	7444
485	7024	7429
486	7041	7417
487	7055	7402
488	7068	7386
489	7081	7370
490	7092	7352
491	7105	7336
492	7118	7320
493	7132	7305
494	7145	7290
495	7163	7278
496	7178	7264
497	7190	7247
498	7203	7232
499	7215	7215
500	7227	7198
501	7239	7181
502	7251	7165
503	7264	7149
504	7277	7133
505	7289	7116
506	7302	7100
507	7315	7085
508	7327	7068
509	7338	7051
510	7349	7033
511	7364	7018
512	7377	7003
513	7388	6985
514	7400	6969
515	7414	6954
516	7433	6944
517	7447	6929
518	7461	6915
519	7475	6900
520	7486	6883
521	7500	6867
522	7512	6852
523	7525	6835
524	7536	6818
525	7547	6801
526	7561	6787
527	7575	6772
528	7588	6756
529	7601	6740
530	7613	6724
531	7626	6709
532	7637	6692
533	7651	6677
534	7666	6663
535	7677	6646
536	7690	6630
537	7702	6614
538	7715	6598
539	7728	6583
540	7739	6566
541	7752	6550
542	7763	6534
543	7775	6517
544	7788	6502
545	7802	6487
546	7814	6471
547	7826	6455
548	7844	6444
549	7857	6428
550	7869	6412
551	7882	6397
552	7895	6381
553	7909	6367
554	7923	6353
555	7936	6337
556	7948	6321
557	7963	6308
558	7976	6292
559	7989	6277
560	8002	6262
561	8015	6246
562	8026	6230
563	8038	6214
564	8051	6198
565	8062	6182
566	8075	6166
567	8088	6151
568	8101	6136
569	8114	6121
570	8125	6104
571	8138	6089
572	8151	6074
573	8163	6058
574	8179	6045
575	8195	6033
576	8208	6018
577	8223	6004
578	8242	5993
579	8254	5977
580	8266	5961
581	8279	5946
582	8293	5931
583	8305	5916
584	8317	5900
585	8330	5885
586	8341	5869
587	8353	5853
588	8366	5837
589	8380	5823
590	8391	5807
591	8403	5791
592	8415	5775
593	8427	5760
594	8441	5745
595	8451	5729
596	8465	5714
597	8479	5700
598	8492	5685
599	8503	5668
600	8515	5653
601	8528	5638
602	8539	5622
603	8551	5606
604	8564	5591
605	8577	5576
606	8591	5562
607	8607	5549
608	8620	5534
609	8635	5520
610	8646	5504
611	8659	5490
612	8673	5475
613	8688	5461
614	8700	5446
615	8712	5431
616	8726	5416
617	8741	5403
618	8753	5388
619	8767	5373
620	8779	5357
621	8793	5344
622	8805	5328
623	8819	5314
624	8831	5298
625	8842	5283
626	8855	5267
627	8867	5252
628	8879	5237
629	8892	5222
630	8909	5210
631	8923	5195
632	8941	5183
633	8954	5169
634	8968	5155
635	8980	5139
636	8994	5125
637	9014	5114
638	9026	5099
639	9038	5084
640	9050	5068
641	9063	5053
642	9074	5038
643	9086	5022
644	9098	5007
645	9111	4993
646	9125	4978
647	9136	4962
648	9150	4948
649	9163	4934
650	9175	4918
651	9186	4903
652	9198	4887
653	9213	4874
654	9227	4860
655	9242	4846
656	9256	4832
657	9270	4818
658	9283	4803
659	9293	4787
660	9307	4773
661	9320	4758
662	9331	4743
663	9344	4728
664	9357	4714
665	9368	4698
666	9381	4683
667	9392	4668
668	9405	4653
669	9425	4642
670	9438	4627
671	9451	4613
672	9464	4598
673	9477	4583
674	9488	4568
675	9500	4553
676	9514	4539
677	9528	4525
678	9543	4511
679	9556	4496
680	9568	4481
681	9579	4466
682	9591	4451
683	9604	4437
684	9618	4423
685	9633	4409
686	9647	4395
687	9675	4387
688	9686	4372
689	9700	4357
690	9712	4343
691	9726	4328
692	9739	4314
693	9753	4300
694	9765	4285
695	9776	4270
696	9793	4257
697	9813	4246
698	9830	4232
699	9843	4218
700	9855	4203
701	9868	4189
702	9879	4174
703	9893	4159
704	9910	4147
705	9927	4134
706	9943	4120
707	9956	4106
708	9969	4091
709	9980	4076
710	9993	4062
711	10006	4047
712	10018	4032
713	10030	4017
714	10044	4003
715	10055	3988
716	10067	3973
717	10078	3958
718	10092	3944
719	10105	3930
720	10118	3915
721	10132	3901
722	10146	3887
723	10159	3872
724	10170	3857
725	10182	3842
726	10194	3828
727	10207	3813
728	10224	3800
729	10240	3787
730	10253	3773
731	10265	3758
732	10279	3744
733	10294	3730
734	10308	3716
735	10321	3702
736	10335	3688
737	10348	3673
738	10362	3659
739	10373	3644
740	10389	3631
741	10403	3617
742	10414	3602
743	10428	3588
744	10441	3573
745	10456	3560
746	10468	3545
747	10480	3531
748	10494	3516
749	10505	3501
750	10518	3487
751	10532	3473
752	10544	3458
753	10558	3444
754	10569	3429
755	10583	3415
756	10596	3401
757	10608	3387
758	10626	3374
759	10640	3360
760	10654	3346
761	10667	3331
762	10681	3317
763	10693	3303
764	10704	3288
765	10717	3273
766	10730	3259
767	10741	3244
768	10753	3230
769	10765	3215
770	10778	3201
771	10790	3186
772	10802	3172
773	10814	3157
774	10828	3143
775	10839	3128
776	10852	3114
777	10864	3100
778	10878	3086
779	10893	3072
780	10903	3057
781	10924	3045
782	10938	3031
783	10950	3016
784	10961	3002
785	10974	2987
786	10987	2973
787	11003	2960
788	11020	2947
789	11032	2932
790	11043	2917
791	11055	2903
792	11067	2888
793	11080	2874
794	11093	2860
795	11106	2846
796	11117	2831
797	11129	2817
798	11142	2802
799	11155	2788
800	11168	2774
801	11182	2760
802	11195	2746
803	11208	2732
804	11220	2718
805	11232	2703
806	11243	2688
807	11256	2674
808	11269	2660
809	11282	2646
810	11295	2632
811	11309	2618
